,city,lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
311,balkanabat,39.5108,54.3671,35.93,41,0,5.83,TM,1627220119
312,syumsi,57.1111,51.6149,17.29,50,84,2.37,RU,1627220120
313,loukhi,66.0764,33.0381,18.86,40,69,4.35,RU,1627220120
314,baruun-urt,46.6806,113.2792,19.81,53,100,7.44,MN,1627220121
315,miraflores,19.2167,-98.8083,15.57,72,6,0.88,MX,1627220122
316,gunjur,13.2019,-16.7339,31.04,66,40,4.12,GM,1627220123
317,wajima,37.4,136.9,26.2,82,1,2.18,JP,1627220123
318,buala,-8.145,159.5921,26.29,83,87,3.03,SB,1627220124
319,acari,-15.4311,-74.6158,19.62,65,85,1.96,PE,1627220125
320,banfora,10.6333,-4.7667,29.86,58,89,3.35,BF,1627220126
321,mandera,3.9366,41.867,30.14,34,100,9.36,KE,1627220126
322,tshikapa,-6.4167,20.8,35.47,17,11,3.46,CD,1627220127
323,juneau,58.3019,-134.4197,13.25,95,75,0.0,US,1627219920
324,sidney,-33.8679,151.2073,10.73,60,0,0.45,AU,1627220035
325,edd,13.9297,41.6925,32.66,52,100,3.37,ER,1627220129
326,cockburn town,21.4612,-71.1419,27.78,80,6,5.17,TC,1627220103
327,kizukuri,40.8061,140.3861,24.41,85,9,2.65,JP,1627220131
328,vung tau,10.346,107.0843,27.42,78,84,7.86,VN,1627220131
329,mahon,39.8885,4.2658,28.31,61,0,7.2,ES,1627220132
330,biltine,14.5333,20.9167,30.17,55,25,6.12,TD,1627220133
331,ishigaki,24.3448,124.1572,29.15,88,100,6.99,JP,1627220134
332,morant bay,17.8815,-76.4093,29.81,67,22,2.21,JM,1627220135
333,raduzhnyy,62.0961,77.475,19.25,85,100,2.2,RU,1627220135
334,san patricio,28.017,-97.5169,29.37,74,4,3.25,US,1627220136
335,hulan ergi,47.2042,123.6333,20.98,96,100,3.56,CN,1627220137
336,thayetmyo,19.3167,95.1833,27.05,77,100,2.46,MM,1627220138
337,acapulco,16.8634,-99.8901,26.9,89,40,2.06,MX,1627220100
338,port shepstone,-30.7414,30.455,18.33,65,0,9.78,ZA,1627220140
339,tautira,-17.7333,-149.15,22.01,69,5,4.11,PF,1627220141
340,la libertad,-2.2333,-80.9,21.81,88,90,3.6,EC,1627220141
341,raymond,43.9015,-70.4703,19.45,94,100,4.58,US,1627220142
342,road town,18.4167,-64.6167,29.02,84,20,5.66,VG,1627219853
343,yar-sale,66.8333,70.8333,14.01,58,100,8.12,RU,1627220144
344,iwanai,42.9744,140.5089,21.53,96,15,2.61,JP,1627220144
345,eseka,3.65,10.7667,24.51,92,91,2.45,CM,1627220145
346,chiredzi,-21.05,31.6667,21.5,27,10,4.03,ZW,1627220146
347,tigil,57.8,158.6667,12.56,95,92,2.15,RU,1627220147
348,avera,33.194,-82.5271,25.95,63,97,1.28,US,1627220147
349,muzhi,65.3667,64.6667,13.89,55,84,3.11,RU,1627220148
350,komsomolskiy,40.4272,71.7189,39.4,15,0,3.09,UZ,1627220149
351,chapais,49.7834,-74.8492,15.88,76,78,4.16,CA,1627220151
352,biak,-0.9131,122.8766,24.16,83,77,2.66,ID,1627220151
353,darhan,49.4867,105.9228,17.97,67,100,1.84,MN,1627220152
354,daru,-9.0763,143.2092,25.16,83,87,6.48,PG,1627220153
355,onokhoy,51.932,108.0747,21.86,65,30,1.51,RU,1627220154
356,leh,34.1667,77.5833,26.29,29,97,2.52,IN,1627220154
357,banda aceh,5.5577,95.3222,27.5,81,99,4.29,ID,1627220155
358,alyangula,-13.8483,136.4192,17.93,88,91,0.0,AU,1627220156
359,sorland,67.667,12.6934,15.04,82,0,4.0,NO,1627220157
360,fort nelson,58.8053,-122.7002,11.77,82,75,2.57,CA,1627220158
361,boyolangu,-8.1181,111.8935,22.54,87,39,0.93,ID,1627220158
362,datong,40.0936,113.2914,25.79,52,97,2.82,CN,1627220159
363,vila franca do campo,37.7167,-25.4333,21.23,69,69,2.93,PT,1627220160
364,akureyri,65.6835,-18.0878,14.96,51,20,6.17,IS,1627220123
365,ulladulla,-35.35,150.4667,11.5,63,100,8.94,AU,1627220161
366,ust-barguzin,53.45,108.9833,14.76,77,62,1.28,RU,1627220162
